TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
VOLCAN COMPAÑÍA MINERA S.A.A.;CARAHUACRA;JUNIN;YAULI;YAULI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;8/01/2003;8/01/2003
SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU;REF.DE COBRE - ILO;MOQUEGUA;ILO;PACOCHA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;14/01/2003;14/01/2003
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;21/01/2003;21/01/2003
SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.;AUSTRIA DUVAZ;JUNIN;YAULI;MOROCOCHA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;2/02/2003;2/02/2003
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;10/02/2003;10/02/2003
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;10/02/2003;10/02/2003
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;10/02/2003;10/02/2003
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;10/02/2003;10/02/2003
COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.;SAN JUAN Nº 1;ICA;NASCA;MARCONA;CAÍDAS DE PERSONAS;Pequeña Minería;17/02/2003;17/02/2003
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;ACARREO Y TRANSPORTE;Gran y Mediana Minería;24/02/2003;24/02/2003
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;26/02/2003;26/02/2003
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/03/2003;6/03/2003
CONSORCIO MINERO HORIZONTE S.A.;PARCOY DE TRUJILLO;LA LIBERTAD;PATAZ;PARCOY;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;14/03/2003;14/03/2003
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;18/03/2003;18/03/2003
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;29/03/2003;29/03/2003
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;30/03/2003;30/03/2003
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/04/2003;4/04/2003
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/04/2003;4/04/2003
COMPAÑIA MINERA PODEROSA S.A.;LA PODEROSA DE TRUJILLO;LA LIBERTAD;PATAZ;PATAZ;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;11/04/2003;11/04/2003
