TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
COMPAÑIA MINERA RAURA S.A.;RAURA;HUANUCO;LAURICOCHA;SAN MIGUEL DE CAURI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/01/2006;4/01/2006
NEXA RESOURCES PERU S.A.A.;MILPO Nº1;PASCO;PASCO;YANACANCHA;OTROS TIPOS - IZAJE DE EQUIPOS;Gran y Mediana Minería;5/01/2006;6/01/2006
CASTROVIRREYNA COMPAÑIA MINERA S.A. EN LIQUIDACION;SAN GENARO;HUANCAVELICA;CASTROVIRREYNA;SANTA ANA;ATRAPADO POR SUCCIÓN DE MINERAL / DESMONTE;Gran y Mediana Minería;15/01/2006;15/01/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;25/01/2006;25/01/2006
COMPAÑIA MINERA PODEROSA S.A.;LIBERTAD;LA LIBERTAD;PATAZ;PATAZ;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;27/01/2006;27/01/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;31/01/2006;31/01/2006
MINERA AURIFERA RETAMAS S.A.;RETAMAS;LA LIBERTAD;PATAZ;PARCOY;ACARREO Y TRANSPORTE;Gran y Mediana Minería;1/02/2006;1/02/2006
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;OTROS TIPOS - AHOGAMIENTO POR INUNDACION;Pequeña Minería;13/02/2006;13/02/2006
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;OTROS TIPOS - AHOGAMIENTO POR INUNDACION;Pequeña Minería;13/02/2006;13/02/2006
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;OTROS TIPOS - AHOGAMIENTO POR INUNDACION;Pequeña Minería;13/02/2006;13/02/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;22/02/2006;22/02/2006
MINERA SAN MIGUEL S.R.L;MIKE I;PIURA;PIURA;LA ARENA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;24/02/2006;24/02/2006
MINERA SAN MIGUEL S.R.L;MIKE I;PIURA;PIURA;LA ARENA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;24/02/2006;24/02/2006
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;3/03/2006;3/03/2006
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;JULCANI;HUANCAVELICA;ANGARAES;CCOCHACCASA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/03/2006;6/03/2006
COMPAÑIA MINERA SANTA LUISA S.A.;SANTA LUISA;ANCASH;BOLOGNESI;HUALLANCA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;7/03/2006;7/03/2006
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;HUARON;PASCO;PASCO;HUAYLLAY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;19/03/2006;19/03/2006
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;HUARON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;21/03/2006;21/03/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;31/03/2006;31/03/2006
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;3/04/2006;3/04/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;25/04/2006;25/04/2006
COMPAÑIA MINERA TOMA LA MANO S.A.;TOMA LA MANO Nº 2;ANCASH;CARHUAZ;MARCARA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;26/04/2006;26/04/2006
CONSORCIO MINERO HORIZONTE S.A.;ACUMULACION PARCOY Nº 1;LA LIBERTAD;PATAZ;PARCOY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;2/05/2006;2/05/2006
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;5/05/2006;5/05/2006
COMPAÑIA DE MINAS MAGISTRAL S.A.;MAGISTRAL 2000;ANCASH;PALLASCA;CONCHUCOS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;19/05/2006;19/05/2006
MINSUR SA;ACUMULACION QUENAMARI - SAN RAFAEL;PUNO;MELGAR;ANTAUTA;OTROS;Gran y Mediana Minería;23/05/2006;23/05/2006
MINERA AURIFERA RETAMAS S.A.;RETAMAS;LA LIBERTAD;PATAZ;PARCOY;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;26/05/2006;26/05/2006
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;ORCOPAMPA;AREQUIPA;CASTILLA;ORCOPAMPA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;26/05/2006;26/05/2006
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;4/06/2006;4/06/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/06/2006;6/06/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/06/2006;6/06/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;6/06/2006;6/06/2006
MINERA BARRICK MISQUICHILCA S.A.;PIERINA;ANCASH;HUARAZ;JANGAS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;28/06/2006;28/06/2006
EMPRESA MINERA LOS QUENUALES S.A.;ACUMULACION ISCAYCRUZ;LIMA;OYON;OYON;OTROS;Gran y Mediana Minería;2/07/2006;2/07/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;13/07/2006;13/07/2006
COMPAÑIA MINERA ARGENTUM S.A.;MOROCOCHA;JUNIN;YAULI;MOROCOCHA;OTROS;Gran y Mediana Minería;16/07/2006;16/07/2006
MINSUR SA;ACUMULACION QUENAMARI - SAN RAFAEL;PUNO;MELGAR;ANTAUTA;ACARREO Y TRANSPORTE;Gran y Mediana Minería;18/07/2006;18/07/2006
MINERA AURIFERA RETAMAS S.A.;RETAMAS;LA LIBERTAD;PATAZ;PARCOY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;21/07/2006;21/07/2006
MINERA PAMPA DE COBRE S.A.C.;MINAS DE COBRE CHAPI;MOQUEGUA;GENERAL SANCHEZ CERRO;LA CAPILLA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;29/07/2006;29/07/2006
COMPAÑIA MINERA ARES S.A.C.;ARCATA;AREQUIPA;CONDESUYOS;CAYARANI;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;14/08/2006;14/08/2006
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;16/08/2006;16/08/2006
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;16/08/2006;16/08/2006
CORPORACION MINERA ANANEA S.A.;ANA MARIA;PUNO;SAN ANTONIO DE PUTINA;ANANEA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Pequeña Minería;27/08/2006;27/08/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;31/08/2006;31/08/2006
COMPAÑIA MINERA ARES S.A.C.;ARES;AREQUIPA;CASTILLA;ORCOPAMPA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;8/09/2006;8/09/2006
COMPAÑIA MINERA ARES S.A.C.;ARES;AREQUIPA;CASTILLA;ORCOPAMPA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;8/09/2006;8/09/2006
SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C.;AUSTRIA DUVAZ;JUNIN;YAULI;MOROCOCHA;ACARREO Y TRANSPORTE;Gran y Mediana Minería;16/09/2006;16/09/2006
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;28/09/2006;28/09/2006
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;2/10/2006;2/10/2006
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;2/10/2006;2/10/2006
NYRSTAR ANCASH S.A.;PUCARRAJO;ANCASH;HUARI;SAN MARCOS;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;2/10/2006;2/10/2006
MINAS ARIRAHUA S.A.;BARRENO;AREQUIPA;CONDESUYOS;YANAQUIHUA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;2/10/2006;2/10/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;ANDAYCHAGUA;JUNIN;YAULI;YAULI;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;10/10/2006;11/10/2006
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;19/10/2006;19/10/2006
COMPAÑIA MINERA AURIFERA SANTA ROSA S.A.;SANTA ROSA-COMARSA;LA LIBERTAD;SANTIAGO DE CHUCO;ANGASMARCA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;21/10/2006;21/10/2006
COMPAÑIA MINERA ARGENTUM S.A.;ANTICONA;JUNIN;YAULI;YAULI;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;22/10/2006;22/10/2006
CORIANTA S.A.;BONGARA;AMAZONAS;BONGARA;YAMBRASBAMBA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;24/10/2006;24/10/2006
SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU;TOQUEPALA 1;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;4/11/2006;4/11/2006
SAN JUAN GOLD MINES S.A.A.;ACUMULACION OCOÑA UNO;AREQUIPA;CONDESUYOS;RIO GRANDE;CAÍDAS DE PERSONAS;Gran y Mediana Minería;9/11/2006;9/11/2006
MINERA PAMPA DE COBRE S.A.C.;MINAS DE COBRE CHAPI;MOQUEGUA;GENERAL SANCHEZ CERRO;LA CAPILLA;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;20/11/2006;20/11/2006
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;OTROS - ESTALLIDO DE ROCAS;Gran y Mediana Minería;25/11/2006;25/11/2006
CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.;EL COFRE;PUNO;LAMPA;PARATIA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;18/12/2006;18/12/2006
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;OTROS TIPOS - HUAYCO;Gran y Mediana Minería;27/12/2006;27/12/2006
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;OTROS TIPOS - HUAYCO;Gran y Mediana Minería;27/12/2006;27/12/2006
INVERSIONES MINERAS DEL SUR S.A.;CARAVELI;AREQUIPA;CARAVELI;CARAVELI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;29/12/2006;29/12/2006
COMPAÑIA MINERA ARES S.A.C.;ARCATA;AREQUIPA;CONDESUYOS;CAYARANI;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;14/01/2007;14/01/2007
COMPAÑIA MINERA SANTA LUISA S.A.;BERLIN;ANCASH;BOLOGNESI;PACLLON;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;15/01/2007;15/01/2007
COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;SAN VICENTE;JUNIN;CHANCHAMAYO;VITOC;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;21/01/2007;21/01/2007
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;23/01/2007;23/01/2007
COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;SAN VICENTE;JUNIN;CHANCHAMAYO;VITOC;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;28/01/2007;28/01/2007
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;3/02/2007;3/02/2007
MINERA SINAYCOCHA S.A.C.;SINAYCOCHA UNO;JUNIN;CONCEPCION;COMAS;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;5/02/2007;11/02/2007
COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;SAN VICENTE;JUNIN;CHANCHAMAYO;VITOC;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;15/02/2007;15/02/2007
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;15/02/2007;15/02/2007
CATALINA HUANCA SOCIEDAD MINERA S.A.C.;CATALINA HUANCA;AYACUCHO;VICTOR FAJARDO;CANARIA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;18/02/2007;18/02/2007
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;HUARON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/02/2007;23/02/2007
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;2/03/2007;2/03/2007
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;RECUPERADA;HUANCAVELICA;ANGARAES;LIRCAY;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;5/03/2007;5/03/2007
SOCIEDAD MINERA DE RECURSOS LINCEARES MAGISTRAL DE HUARAZ S.A.C.;AQUIA;ANCASH;BOLOGNESI;AQUIA;DESPRENDIMIENTO DE ROCAS;Sin Categoría;6/03/2007;6/03/2007
MINERA BATEAS S.A.C.;SAN CRISTOBAL;AREQUIPA;CAYLLOMA;CAYLLOMA;CHOQUES CONTRA O GOLPES POR OBJETOS DURANTE EL MANIPULEO DE MATERIALES;Gran y Mediana Minería;7/03/2007;7/03/2007
SOCIEDAD MINERA LAS CUMBRES S.A.C.;CONDORSENGA;LIMA;CAJATAMBO;GORGOR;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Pequeña Minería;15/03/2007;15/03/2007
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;23/03/2007;23/03/2007
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;23/03/2007;23/03/2007
COMPAÑIA MINERA ARGENTUM S.A.;MANUELITA;JUNIN;YAULI;YAULI;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;11/04/2007;11/04/2007
CONSORCIO MINERO HORIZONTE S.A.;ACUMULACION PARCOY Nº 1;LA LIBERTAD;PATAZ;PARCOY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;12/04/2007;12/04/2007
CENTURY MINING PERU S.A.C.;SAN JUAN DE AREQUIPA;AREQUIPA;CONDESUYOS;RIO GRANDE;CAÍDAS DE PERSONAS;Gran y Mediana Minería;20/04/2007;20/04/2007
COMPAÑIA AURIFERA REAL AVENTURA S.A.C.;CULEBRILLAS;LA LIBERTAD;PATAZ;PIAS;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;3/05/2007;3/05/2007
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;18/05/2007;18/05/2007
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;20/05/2007;20/05/2007
COMPAÑIA MINERA ARES S.A.C.;ARCATA;AREQUIPA;CONDESUYOS;CAYARANI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;22/05/2007;22/05/2007
MINAS ARIRAHUA S.A.;BARRENO;AREQUIPA;CONDESUYOS;YANAQUIHUA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;22/05/2007;22/05/2007
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;QUIRUVILCA;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;25/05/2007;25/05/2007
IMPALA TERMINALS PERU S.A.C.;DEPOSITO DE CONCENTRADOS CORMIN CALLAO;CALLAO;CALLAO;CALLAO;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;28/05/2007;28/05/2007
COMPAÑIA MINERA SANTA LUISA S.A.;SANTA LUISA;ANCASH;BOLOGNESI;HUALLANCA;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;6/06/2007;6/06/2007
VALENCIA ORRILLO JAIME;FERRO CARBON QUIROZ Nº 3;LIMA;OYON;OYON;GOLPES POR HERRAMIENTAS;Gran y Mediana Minería;14/06/2007;14/06/2007
GREAT PANTHER CORICANCHA S.A.;MINA CORICANCHA;LIMA;HUAROCHIRI;SAN MATEO;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;19/06/2007;19/06/2007
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA-6;LIMA;HUAROCHIRI;CHICLA;CAÍDAS DE PERSONAS;Gran y Mediana Minería;23/06/2007;23/06/2007
VILLAVICENCIO GARDINI JENNY KARINA;KARINA 9A;PUNO;CHUCUITO;HUACULLANI;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;28/06/2007;28/06/2007
VILLAVICENCIO GARDINI JENNY KARINA;KARINA 9A;PUNO;CHUCUITO;HUACULLANI;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR VEHÍCULO MOTORIZADO (TRÁNSITO);Gran y Mediana Minería;28/06/2007;28/06/2007
NEXA RESOURCES PERU S.A.A.;MILPO Nº1;PASCO;PASCO;YANACANCHA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;4/07/2007;4/07/2007
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;ACUMULACION ANCOYO;AREQUIPA;CASTILLA;CHACHAS;ACARREO Y TRANSPORTE;Gran y Mediana Minería;10/07/2007;10/07/2007
SOCIEDAD MINERA CORONA S.A.;YAURICOCHA;LIMA;YAUYOS;ALIS;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;21/07/2007;20/07/2007
COMPAÑIA MINERA VALOR S.A.;HUACHOCOLPA UNO;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;24/07/2007;24/07/2007
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;OTROS;Gran y Mediana Minería;5/08/2007;5/08/2007
EMPRESA MINERA LOS QUENUALES S.A.;ACUMULACION ISCAYCRUZ;LIMA;OYON;OYON;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;8/08/2007;8/08/2007
COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION;HUARON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;16/08/2007;16/08/2007
NEXA RESOURCES ATACOCHA S.A.A.;ATACOCHA;PASCO;PASCO;SAN FRANCISCO DE ASIS DE YARUSYACAN;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;19/08/2007;19/08/2007
COMPAÑIA MINERA ARES S.A.C.;SELENE;APURIMAC;AYMARAES;COTARUSE;ACARREO Y TRANSPORTE;Gran y Mediana Minería;29/08/2007;29/08/2007
DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA;COBRIZA 1126;HUANCAVELICA;CHURCAMPA;SAN PEDRO DE CORIS;OTROS;Gran y Mediana Minería;30/08/2007;30/08/2007
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;8/09/2007;8/09/2007
COMPAÑIA MINERA ARES S.A.C.;SELENE;APURIMAC;AYMARAES;COTARUSE;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;11/09/2007;11/09/2007
NEXA RESOURCES CAJAMARQUILLA S.A.;REFINERIA DE ZINC CAJAMARQUILLA;LIMA;LIMA;LURIGANCHO;CHOQUES CONTRA O ATRAPADO EN O GOLPES POR OPERACIÓN DE MAQUINARIA;Gran y Mediana Minería;16/09/2007;16/09/2007
ALPAYANA S.A.;AMERICANA;JUNIN;YAULI;YAULI;ACARREO Y TRANSPORTE;Gran y Mediana Minería;28/09/2007;28/09/2007
MINERA SINAYCOCHA S.A.C.;SINAYCOCHA DOS;JUNIN;CONCEPCION;ANDAMARCA;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;30/09/2007;30/09/2007
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;3/10/2007;3/10/2007
VOLCAN COMPAÑÍA MINERA S.A.A.;CERRO DE PASCO;PASCO;PASCO;SIMON BOLIVAR;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;3/10/2007;3/10/2007
MINERA BARRICK MISQUICHILCA S.A.;PIERINA;ANCASH;HUARAZ;JANGAS;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;11/10/2007;11/10/2007
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;18/10/2007;18/10/2007
CONSORCIO MINERO HORIZONTE S.A.;ACUMULACION PARCOY Nº 1;LA LIBERTAD;PATAZ;PARCOY;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Gran y Mediana Minería;25/10/2007;25/10/2007
CORPORACION MINERA TOMA LA MANO S.A.;TOMA LA MANO Nº 2;ANCASH;CARHUAZ;MARCARA;ATRAPADO POR DERRUMBE, DESLIZAMIENTO, SOPLADO DE MINERAL O DESMONTE;Pequeña Minería;31/10/2007;31/10/2007
